
59,59,39.0,-1.0,39.0,-1.0,0,0,0,0,148.0,-1.0,124.0,-1.0,40.0,-1.0,40.0,-1.0,,59,DOWN,,59,0.0
60,60,39.0,-1.0,-1.0,39.0,0,0,0,0,136.0,-1.0,-1.0,136.0,28.0,-1.0,-1.0,28.0,,60,DOWN,,60,0.0
61,61,-1.0,85.0,-1.0,85.0,0,0,0,0,-1.0,108.0,-1.0,108.0,-1.0,64.0,-1.0,56.0,,61,LEFT,,61,0.0
62,62,65.0,86.0,65.0,-1.0,0,0,0,0,136.0,112.0,112.0,-1.0,52.0,68.0,52.0,-1.0,,62,RIGHT,,62,0.0
63,63,-1.0,76.0,-1.0,76.0,0,0,0,0,-1.0,100.0,-1.0,100.0,-1.0,56.0,-1.0,56.0,,63,LEFT,,63,0.0
64,64,33.0,65.0,-1.0,33.0,0,0,0,0,136.0,112.0,-1.0,112.0,52.0,68.0,-1.0,52.0,,64,DOWN,,64,0.0
65,65,47.0,-1.0,-1.0,33.0,0,0,0,0,108.0,-1.0,-1.0,108.0,56.0,-1.0,-1.0,56.0,,65,RIGHT,,65,0.0
66,66,79.0,47.0,-1.0,-1.0,0,0,0,0,136.0,136.0,-1.0,-1.0,28.0,76.0,-1.0,-1.0,,66,UP,,66,0.0
67,67,-1.0,41.0,41.0,-1.0,0,0,0,0,-1.0,124.0,124.0,-1.0,-1.0,64.0,40.0,-1.0,,67,LEFT,,67,-1.0
68,68,-1.0,17.0,17.0,47.0,0,0,0,0,-1.0,112.0,112.0,112.0,-1.0,68.0,52.0,52.0,,68,UP,,68,-1.0
69,69,-1.0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,120.0,72.0,-1.0,-1.0,44.0,28.0,,69,UP,,69,0.0
70,70,-1.0,-1.0,-1.0,-1.0,0,0,0,0,84.0,-1.0,109.0,-1.0,32.0,-1.0,32.0,-1.0,,70,DOWN,,70,0.0
71,71,65.0,65.0,-1.0,-1.0,0,0,0,0,100.0,100.0,-1.0,-1.0,56.0,16.0,-1.0,-1.0,,71,DOWN,,71,0.0
72,72,-1.0,41.0,65.0,41.0,0,0,0,0,-1.0,136.0,112.0,112.0,-1.0,4.0,4.0,4.0,,72,LEFT,,72,0.0
73,73,-1.0,63.0,63.0,-1.0,0,0,0,0,-1.0,148.0,124.0,-1.0,-1.0,104.0,80.0,-1.0,,73,UP,,73,0.0
