
13,13,-1.0,20.0,-1.0,-1.0,0,-1.0,49.0,-1.0,-1.0,-1.0,98.0,-1.0,-1.0,,13,UP,,13,0.0
14,14,-1.0,68.0,-1.0,-1.0,0,-1.0,45.0,-1.0,-1.0,-1.0,127.0,-1.0,-1.0,,14,RIGHT,,14,0.0
15,15,-1.0,20.0,-1.0,-1.0,0,-1.0,41.0,-1.0,-1.0,-1.0,118.0,-1.0,-1.0,,15,RIGHT,,15,0.0
16,16,-1.0,58.0,-1.0,-1.0,0,-1.0,40.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,,16,DOWN,,16,0.0
17,17,-1.0,20.0,-1.0,-1.0,0,-1.0,37.0,-1.0,-1.0,-1.0,98.0,-1.0,-1.0,,17,LEFT,,17,0.0
18,18,-1.0,-1.0,-1.0,40.0,0,-1.0,-1.0,-1.0,49.0,-1.0,-1.0,-1.0,127.0,,18,LEFT,,18,0.0
19,19,-1.0,-1.0,-1.0,36.0,0,-1.0,-1.0,-1.0,45.0,-1.0,-1.0,-1.0,132.0,,19,LEFT,,19,0.0
20,20,-1.0,-1.0,-1.0,129.0,0,-1.0,-1.0,-1.0,44.0,-1.0,-1.0,-1.0,32.0,,20,RIGHT,,20,0.0
21,21,-1.0,-1.0,-1.0,40.0,0,-1.0,-1.0,-1.0,37.0,-1.0,-1.0,-1.0,127.0,,21,UP,,21,0.0
22,22,-1.0,-1.0,-1.0,40.0,0,-1.0,-1.0,-1.0,33.0,-1.0,-1.0,-1.0,156.0,,22,DOWN,,22,0.0
23,23,-1.0,-1.0,-1.0,112.0,0,-1.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0,32.0,,23,DOWN,,23,0.0
24,24,49.0,49.0,-1.0,-1.0,0,60.0,28.0,-1.0,-1.0,96.0,96.0,-1.0,-1.0,,24,UP,,24,0.0
25,25,-1.0,40.0,-1.0,-1.0,0,-1.0,21.0,-1.0,-1.0,-1.0,167.0,-1.0,-1.0,,25,UP,,25,0.0
26,26,-1.0,79.0,-1.0,-1.0,0,-1.0,12.0,-1.0,-1.0,-1.0,112.0,-1.0,-1.0,,26,UP,,26,0.9
27,27,-1.0,33.0,-1.0,-1.0,0,-1.0,9.0,-1.0,-1.0,-1.0,145.0,-1.0,-1.0,,27,LEFT,,27,0.8
28,28,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,83.0,-1.0,-1.0,-1.0,63.0,-1.0,,28,RIGHT,,28,0.0
29,29,-1.0,76.0,-1.0,-1.0,0,-1.0,111.0,-1.0,-1.0,-1.0,43.0,-1.0,-1.0,,29,RIGHT,,29,0.0
30,30,-1.0,20.0,-1.0,-1.0,0,-1.0,107.0,-1.0,-1.0,-1.0,33.0,-1.0,-1.0,,30,LEFT,,30,0.0
31,31,-1.0,-1.0,72.0,-1.0,0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,95.0,-1.0,,31,UP,,31,0.0
32,32,-1.0,64.0,-1.0,-1.0,0,-1.0,91.0,-1.0,-1.0,-1.0,23.0,-1.0,-1.0,,32,DOWN,,32,0.9000000000000001
33,33,-1.0,20.0,-1.0,-1.0,0,-1.0,87.0,-1.0,-1.0,-1.0,43.0,-1.0,-1.0,,33,DOWN,,33,0.9000000000000001
34,34,10.0,-1.0,-1.0,-1.0,0,103.0,-1.0,-1.0,-1.0,77.0,-1.0,-1.0,-1.0,,34,DOWN,,34,0.0
35,35,-1.0,-1.0,-1.0,80.0,0,-1.0,-1.0,-1.0,107.0,-1.0,-1.0,-1.0,77.0,,35,DOWN,,35,0.0
36,36,-1.0,-1.0,-1.0,20.0,150,-1.0,-1.0,-1.0,99.0,-1.0,-1.0,-1.0,97.0,,36,RIGHT,,36,0.0
37,37,-1.0,-1.0,-1.0,36.0,0,-1.0,-1.0,-1.0,99.0,-1.0,-1.0,-1.0,109.0,,37,UP,,37,0.0
38,38,-1.0,-1.0,-1.0,21.0,149,-1.0,-1.0,-1.0,98.0,-1.0,-1.0,-1.0,98.0,,38,UP,,38,0.0
39,39,-1.0,40.0,-1.0,-1.0,0,-1.0,143.0,-1.0,-1.0,-1.0,133.0,-1.0,-1.0,,39,LEFT,,39,0.0
40,40,-1.0,40.0,-1.0,-1.0,0,-1.0,139.0,-1.0,-1.0,-1.0,77.0,-1.0,-1.0,,40,LEFT,,40,0.0
41,41,-1.0,10.0,-1.0,-1.0,0,-1.0,135.0,-1.0,-1.0,-1.0,115.0,-1.0,-1.0,,41,DOWN,,41,0.0
42,42,-1.0,16.0,-1.0,-1.0,126,-1.0,131.0,-1.0,-1.0,-1.0,123.0,-1.0,-1.0,,42,UP,,42,0.0
43,43,-1.0,17.0,-1.0,-1.0,125,-1.0,130.0,-1.0,-1.0,-1.0,122.0,-1.0,-1.0,,43,RIGHT,,43,0.0
44,44,-1.0,40.0,-1.0,-1.0,0,-1.0,127.0,-1.0,-1.0,-1.0,101.0,-1.0,-1.0,,44,RIGHT,,44,0.0
45,45,-1.0,-1.0,28.0,-1.0,0,-1.0,-1.0,123.0,-1.0,-1.0,-1.0,91.0,-1.0,,45,RIGHT,,45,0.0
